tipo,bairro,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,area_por_quarto,tem_vaga,valor
Apartamento, Ribeirão da Ilha,599.0,55.0,1.0,2.0,1.0,27.5,1,2100
Apartamento, Itacorubi,550.0,70.0,3.0,2.0,1.0,35.0,1,3700
Apartamento, Trindade,750.0,110.0,2.0,3.0,1.0,36.66666666666666,1,2900
Apartamento,Balneario do Estreito,950.0,123.0,3.0,3.0,1.0,41.0,1,3650
Apartamento, Jurerê,550.0,54.0,1.0,2.0,1.0,27.0,1,2900
Apartamento, Centro,541.0,60.0,1.0,2.0,1.0,30.0,1,2700
Apartamento, Ingleses do Rio Vermelho,380.0,70.0,2.0,2.0,1.0,35.0,1,4200
Apartamento,Itacorubi,815.0,70.0,2.0,2.0,1.0,35.0,1,4100
Apartamento, Carvoeira,400.0,36.0,1.0,1.0,1.0,36.0,1,2800
Apartamento, Saco dos Limões,0.0,62.0,1.0,1.0,1.0,62.0,1,2800
Apartamento, Ingleses do Rio Vermelho,50.0,85.0,2.0,2.0,1.0,42.5,1,2550
Apartamento, Agronômica,675.0,110.0,2.0,3.0,1.0,36.66666666666666,1,3950
Apartamento, Trindade,615.0,74.0,2.0,2.0,1.0,37.0,1,2950
Apartamento, Centro,700.0,60.0,1.0,1.0,1.0,60.0,1,1700
Apartamento, Centro,835.0,80.0,2.0,2.0,1.0,40.0,1,2500
Casa, Rio Tavares,0.0,140.0,3.0,3.0,2.0,46.66666666666666,1,5400
Apartamento, Capoeiras,300.0,67.0,1.0,2.0,1.0,33.5,1,1850
Apartamento, Coqueiros,467.0,56.0,1.0,2.0,1.0,28.0,1,2200
Casa,Campeche,0.0,104.0,2.0,3.0,1.0,34.666666666666664,1,5800
Apartamento, Itacorubi,642.0,53.0,1.0,1.0,1.0,53.0,1,2300
Apartamento, Campeche,250.0,38.0,1.0,1.0,1.0,38.0,1,3000
Apartamento, Campeche,250.0,38.0,1.0,1.0,1.0,38.0,1,3000
Apartamento, Centro,490.0,58.0,1.0,2.0,1.0,29.0,1,2700
Apartamento, Agronômica,402.0,48.0,1.0,1.0,1.0,48.0,1,3300
Apartamento, Centro,716.0,88.0,1.0,3.0,1.0,29.33333333333333,1,3300
Casa, São João do Rio Vermelho,0.0,150.0,2.0,3.0,5.0,50.0,1,4220
Apartamento, Jurerê,750.0,90.0,2.0,3.0,2.0,30.0,1,6500
Apartamento,Agronômica,559.0,64.0,2.0,2.0,1.0,32.0,1,3500
Casa, Estreito,0.0,235.0,3.0,3.0,1.0,78.33333333333333,1,4500
Kitnet/Conjugado, Carvoeira,0.0,28.0,1.0,1.0,1.0,28.0,1,1860
Apartamento, Centro,490.0,58.0,1.0,2.0,1.0,29.0,1,2100
Apartamento, Estreito,230.0,33.0,1.0,1.0,1.0,33.0,1,1890
Apartamento, Parque São Jorge,700.0,103.0,2.0,3.0,1.0,34.333333333333336,1,4700
Apartamento, Cachoeira do Bom Jesus,0.0,100.0,2.0,3.0,1.0,33.333333333333336,1,3200
Casa, Campeche,0.0,125.0,3.0,3.0,2.0,41.66666666666666,1,5300
Casa, Estreito,0.0,130.0,1.0,2.0,1.0,65.0,1,2900
Apartamento, Coqueiros,495.0,51.0,1.0,2.0,1.0,25.5,1,1740
Apartamento,Balneário,546.0,83.0,2.0,2.0,1.0,41.5,1,2500
Apartamento,Ingleses do Rio Vermelho,311.0,66.0,2.0,2.0,1.0,33.0,1,2000
Casa, Saco dos Limões,0.0,94.0,2.0,3.0,1.0,31.33333333333333,1,4700
Casa,Jurerê Internacional,0.0,450.0,5.0,4.0,4.0,112.5,1,9000
Apartamento, Trindade,677.0,59.0,1.0,2.0,1.0,29.5,1,1600
Apartamento, Carvoeira,480.0,42.0,1.0,1.0,1.0,42.0,1,2990
Apartamento,Campeche,750.0,100.0,2.0,2.0,1.0,50.0,1,7500
Apartamento, Saco Grande,601.0,76.0,2.0,2.0,1.0,38.0,1,3600
Apartamento, Bom Abrigo,1350.0,127.0,3.0,3.0,2.0,42.333333333333336,1,10000
Apartamento,Campeche,800.0,86.0,3.0,2.0,2.0,43.0,1,7900
