Unnamed: 0,data,fonte,id,descricao,tipo,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url,amenities,categoria,valor_total,valor_m2,valor_condo_m2,area_por_quarto,tem_vaga
7,2023-12-05 00:35:45.817365,Vivareal,2666963712,"Apartamento com 2 Quartos para Aluguel, 55m²",Apartamento,"Rodovia Baldicero Filomeno - Ribeirão da Ilha, Florianópolis - SC",Rodovia Baldicero Filomeno ,, Ribeirão da Ilha,florianopolis,2100,Mês,599.0,55.0,1.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-ribeirao-da-ilha-bairros-florianopolis-com-garagem-55m2-aluguel-RS2100-id-2666963712/,Playground; Interfone; Área de serviço,Residencial,2699.0,38.18181818181818,10.89090909090909,27.5,1
9,2023-12-05 00:35:45.819841,Vivareal,2666916709,"Apartamento com 2 Quartos para Aluguel, 70m²",Apartamento,"Rua Coronel Luiz Caldeira, 149 - Itacorubi, Florianópolis - SC",Rua Coronel Luiz Caldeira,149.0, Itacorubi,florianopolis,3700,Mês,550.0,70.0,3.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-70m2-aluguel-RS3700-id-2666916709/,Garagem,Residencial,4250.0,52.85714285714285,7.857142857142857,35.0,1
20,2023-12-05 00:35:45.833724,Vivareal,2664501915,"Apartamento com 3 Quartos para Aluguel, 110m²",Apartamento,"Rua Lauro Linhares, 1520 - Trindade, Florianópolis - SC",Rua Lauro Linhares,1520.0, Trindade,florianopolis,2900,Mês,750.0,110.0,2.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-trindade-bairros-florianopolis-com-garagem-110m2-aluguel-RS2900-id-2664501915/,Elevador; Condomínio fechado; Varanda; Varanda gourmet; Salão de festas; ...,Residencial,3650.0,26.363636363636363,6.818181818181818,36.666666666666664,1
28,2023-12-05 00:35:45.843232,Vivareal,2666987898,"Apartamento com 3 Quartos para Aluguel, 123m²",Apartamento,"Balneario do Estreito, Florianópolis - SC",,,Balneario do Estreito,florianopolis,3650,Mês,950.0,123.0,3.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-balneario-do-estreito-bairros-florianopolis-com-garagem-123m2-aluguel-RS3650-id-2666987898/,Ar-condicionado; Elevador; Vista para o mar; Salão de festas,Residencial,4600.0,29.67479674796748,7.723577235772358,41.0,1
29,2023-12-05 00:35:45.844950,Vivareal,2666217695,"Apartamento com 2 Quartos para Aluguel, 54m²",Apartamento,"Rua das Tainhotas, 133 - Jurerê, Florianópolis - SC",Rua das Tainhotas,133.0, Jurerê,florianopolis,2900,Mês,550.0,54.0,1.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-54m2-aluguel-RS2900-id-2666217695/,,Residencial,3450.0,53.7037037037037,10.185185185185183,27.0,1
33,2023-12-05 00:35:45.849866,Vivareal,2666257702,"Apartamento com 2 Quartos para Aluguel, 60m²",Apartamento,"Rua Pedro Ivo, 171 - Centro, Florianópolis - SC",Rua Pedro Ivo,171.0, Centro,florianopolis,2700,Mês,541.0,60.0,1.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-60m2-aluguel-RS2700-id-2666257702/,,Residencial,3241.0,45.0,9.016666666666667,30.0,1
43,2023-12-05 00:35:49.915662,Vivareal,2628630843,"Apartamento com 2 Quartos para Aluguel, 70m²",Apartamento,"Rua Morro das Feiticeiras, 333 - Ingleses do Rio Vermelho, Florianópolis - SC",Rua Morro das Feiticeiras,333.0, Ingleses do Rio Vermelho,florianopolis,4200,Mês,380.0,70.0,2.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-70m2-aluguel-RS4200-id-2628630843/,Mobiliado; Churrasqueira; Elevador; Jardim; Playground; ...,Residencial,4580.0,60.0,5.428571428571429,35.0,1
46,2023-12-05 00:35:49.919281,Vivareal,2666575505,"Apartamento com 2 Quartos para Aluguel, 70m²",Apartamento,"Itacorubi, Florianópolis - SC",,,Itacorubi,florianopolis,4100,Mês,815.0,70.0,2.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-70m2-aluguel-RS4100-id-2666575505/,Mobiliado; Elevador; Academia; Espaço gourmet; Ar-condicionado; ...,Residencial,4915.0,58.57142857142857,11.642857142857142,35.0,1
50,2023-12-05 00:35:49.924047,Vivareal,2652846619,"Apartamento com  Quarto para Aluguel, 36m²",Apartamento,"Rua das Acácias - Carvoeira, Florianópolis - SC",Rua das Acácias ,, Carvoeira,florianopolis,2800,Mês,400.0,36.0,1.0,1.0,1.0,https://vivareal.com.br/imovel/apartamento-1-quartos-carvoeira-bairros-florianopolis-com-garagem-36m2-aluguel-RS2800-id-2652846619/,,Residencial,3200.0,77.77777777777777,11.11111111111111,36.0,1
80,2023-12-05 00:35:54.595550,Vivareal,2667503132,"Apartamento com  Quarto para Aluguel, 62m²",Apartamento,"Rua Gentil Leandro dos Santos - Saco dos Limões, Florianópolis - SC",Rua Gentil Leandro dos Santos ,, Saco dos Limões,florianopolis,2800,Mês,0.0,62.0,1.0,1.0,1.0,https://vivareal.com.br/imovel/apartamento-1-quartos-saco-dos-limoes-bairros-florianopolis-62m2-aluguel-RS2800-id-2667503132/,Lavanderia,Residencial,2800.0,45.16129032258065,0.0,62.0,1
82,2023-12-05 00:35:54.598121,Vivareal,2667501417,"Apartamento com 2 Quartos para Aluguel, 85m²",Apartamento,"Servidão Vicentina Custódia dos Santos - Ingleses do Rio Vermelho, Florianópolis - SC",Servidão Vicentina Custódia dos Santos ,, Ingleses do Rio Vermelho,florianopolis,2550,Mês,50.0,85.0,2.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-85m2-aluguel-RS2550-id-2667501417/,Mobiliado; Churrasqueira; Aceita animais; Garagem; Ar-condicionado; ...,Residencial,2600.0,30.0,0.5882352941176471,42.5,1
