,data,fonte,id,descricao,tipo,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url,amenities,categoria,valor_total,valor_m2,valor_condo_m2
0,2023-12-05 00:35:45.805864,Vivareal,2666858093,"Apartamento com  Quarto para Aluguel, 45m²",Apartamento,"Rua Doutor José Bahia Bittencourt, 231 - Canasvieiras, Florianópolis - SC",Rua Doutor José Bahia Bittencourt,231.0, Canasvieiras,florianopolis,280,Dia,0.0,45.0,1.0,1.0,1.0,https://vivareal.com.br/imovel/apartamento-1-quartos-canasvieiras-bairros-florianopolis-com-garagem-45m2-aluguel-RS280-id-2666858093/,Mobiliado; Elevador; Ar-condicionado; Jardim; Churrasqueira na varanda; ...,Residencial,280.0,6.222222222222222,0.0
1,2023-12-05 00:35:45.809017,Vivareal,2667204497,"Casa com 3 Quartos para Aluguel, 163m²",Casa,"Avenida Jacarandá, 781 - Daniela, Florianópolis - SC",Avenida Jacarandá,781.0, Daniela,florianopolis,1200,Dia,0.0,163.0,2.0,3.0,2.0,https://vivareal.com.br/imovel/casa-3-quartos-daniela-bairros-florianopolis-com-garagem-163m2-aluguel-RS1200-id-2667204497/,Mobiliado; Churrasqueira; Ar-condicionado; Jardim; Área de serviço; ...,Residencial,1200.0,7.361963190184049,0.0
2,2023-12-05 00:35:45.810856,Vivareal,2666962526,"Casa com 3 Quartos para Aluguel, 170m²",Casa,"Servidão Anhatomirim, 1 - Ponta das Canas, Florianópolis - SC",Servidão Anhatomirim,1.0, Ponta das Canas,florianopolis,900,Dia,0.0,170.0,2.0,3.0,4.0,https://vivareal.com.br/imovel/casa-3-quartos-ponta-das-canas-bairros-florianopolis-com-garagem-170m2-aluguel-RS900-id-2666962526/,Ar-condicionado; Cozinha; TV a cabo; Área de serviço,Residencial,900.0,5.294117647058823,0.0
3,2023-12-05 00:35:45.812210,Vivareal,2651506185,"Sala/Conjunto    para Aluguel, 74m²",Sala/Conjunto,"Rua Felipe Schmidt, 249 - Centro, Florianópolis - SC",Rua Felipe Schmidt,249.0, Centro,florianopolis,1350,Mês,0.0,74.0,1.0,,,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-74m2-aluguel-RS1350-id-2651506185/,Elevador; Copa,Residencial,1350.0,18.243243243243242,0.0
4,2023-12-05 00:35:45.813599,Vivareal,2666550499,"Cobertura com 3 Quartos para Aluguel, 108m²",Cobertura,"Servidão Laura Duarte Prazeres, 10 - Campeche, Florianópolis - SC",Servidão Laura Duarte Prazeres,10.0, Campeche,florianopolis,7000,Mês,0.0,108.0,2.0,3.0,2.0,https://vivareal.com.br/imovel/cobertura-3-quartos-campeche-bairros-florianopolis-com-garagem-108m2-aluguel-RS7000-id-2666550499/,Piscina; Churrasqueira; Aceita animais; Jardim; Área de serviço; ...,Residencial,7000.0,64.81481481481481,0.0
5,2023-12-05 00:35:45.814879,Vivareal,2666914698,"Apartamento com 2 Quartos para Aluguel, 64m²",Apartamento,"Rodovia Amaro Antônio Vieira - Itacorubi, Florianópolis - SC",Rodovia Amaro Antônio Vieira ,, Itacorubi,florianopolis,3900,Mês,680.0,64.0,2.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-64m2-aluguel-RS3900-id-2666914698/,Piscina; Mobiliado; Academia; Garagem; Ar-condicionado; ...,Residencial,4580.0,60.9375,10.625
7,2023-12-05 00:35:45.817365,Vivareal,2666963712,"Apartamento com 2 Quartos para Aluguel, 55m²",Apartamento,"Rodovia Baldicero Filomeno - Ribeirão da Ilha, Florianópolis - SC",Rodovia Baldicero Filomeno ,, Ribeirão da Ilha,florianopolis,2100,Mês,599.0,55.0,1.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-ribeirao-da-ilha-bairros-florianopolis-com-garagem-55m2-aluguel-RS2100-id-2666963712/,Playground; Interfone; Área de serviço,Residencial,2699.0,38.18181818181818,10.89090909090909
8,2023-12-05 00:35:45.818603,Vivareal,2666753001,"Apartamento com 3 Quartos para Aluguel, 95m²",Apartamento,"Rua Santos Saraiva, 494 - Estreito, Florianópolis - SC",Rua Santos Saraiva,494.0, Estreito,florianopolis,3900,Mês,468.0,95.0,2.0,3.0,2.0,https://vivareal.com.br/imovel/apartamento-3-quartos-estreito-bairros-florianopolis-com-garagem-95m2-aluguel-RS3900-id-2666753001/,Mobiliado; Churrasqueira; Elevador; Aceita animais; Ar-condicionado; ...,Residencial,4368.0,41.05263157894737,4.926315789473684
9,2023-12-05 00:35:45.819841,Vivareal,2666916709,"Apartamento com 2 Quartos para Aluguel, 70m²",Apartamento,"Rua Coronel Luiz Caldeira, 149 - Itacorubi, Florianópolis - SC",Rua Coronel Luiz Caldeira,149.0, Itacorubi,florianopolis,3700,Mês,550.0,70.0,3.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-70m2-aluguel-RS3700-id-2666916709/,Garagem,Residencial,4250.0,52.857142857142854,7.857142857142857
10,2023-12-05 00:35:45.821010,Vivareal,2499497529,"Ponto comercial/Loja/Box    para Aluguel, 24m²",Ponto,"Avenida Engenheiro Max de Souza, 906 - Coqueiros, Florianópolis - SC",Avenida Engenheiro Max de Souza,906.0, Coqueiros,florianopolis,200,Mês,0.0,24.0,,,2.0,https://vivareal.com.br/imovel/ponto-comercial-coqueiros-bairros-florianopolis-com-garagem-24m2-aluguel-RS200-id-2499497529/,,Comercial,200.0,8.333333333333334,0.0
